vorname;anzahl;geschlecht;position
Adam;40;m;1
Ali;28;m;1
Amir;21;m;1
Benjamin;21;m;1
David;21;m;1
Emil;21;m;1
Leon;21;m;1
Louis;21;m;1
Noah;21;m;1
Omar;20;m;1
Elias;19;m;1
Oskar;19;m;1
Paul;19;m;1
Karl;18;m;1
Julian;17;m;1
Yusuf;17;m;1
Alexander;16;m;1
Jonas;16;m;1
Lukas;16;m;1
Vincent;16;m;1
Ibrahim;15;m;1
Maximilian;15;m;1
Muhammad;15;m;1
Felix;14;m;1
Jonathan;14;m;1
Leonard;14;m;1
Milan;14;m;1
Mohammad;14;m;1
Anton;13;m;1
Ben;13;m;1
Leo;13;m;1
Muhammed;13;m;1
Levi;12;m;1
Luis;12;m;1
Jakob;11;m;1
Liam;11;m;1
Mehmet;11;m;1
Niklas;11;m;1
Samuel;11;m;1
Theodor;11;m;1
Valentin;11;m;1
Ahmad;10;m;1
Bruno;10;m;1
Henry;10;m;1
Max;10;m;1
Mohamed;10;m;1
Theo;10;m;1
Arthur;9;m;1
Carl;9;m;1
Finn;9;m;1
Hamza;9;m;1
Julius;9;m;1
Malik;9;m;1
Mats;9;m;1
Abdullah;8;m;1
Edgar;8;m;1
Franz;8;m;1
Friedrich;8;m;1
Jamal;8;m;1
Jan;8;m;1
Leonardo;8;m;1
Luca;8;m;1
Milo;8;m;1
Mohamad;8;m;1
Moritz;8;m;1
Philipp;8;m;1
Raphael;8;m;1
Yasin;8;m;1
Aaron;7;m;1
Adrian;7;m;1
Alessio;7;m;1
Emir;7;m;1
Henri;7;m;1
Hussein;7;m;1
Jakub;7;m;1
Johan;7;m;1
John;7;m;1
Joshua;7;m;1
Lian;7;m;1
Malek;7;m;1
Mert;7;m;1
Miran;7;m;1
Mohammed;7;m;1
Ole;7;m;1
Ömer;7;m;1
Ayaz;6;m;1
Caspar;6;m;1
Erik;6;m;1
Hannes;6;m;1
Jasper;6;m;1
Johann;6;m;1
Karim;6;m;1
Kevin;6;m;1
Matteo;6;m;1
Mattis;6;m;1
Mika;6;m;1
Musa;6;m;1
Mustafa;6;m;1
Richard;6;m;1
Amar;5;m;1
Aras;5;m;1
Baran;5;m;1
Elyas;5;m;1
Emilio;5;m;1
Johannes;5;m;1
Jona;5;m;1
Justus;5;m;1
Konstantin;5;m;1
Levin;5;m;1
Linus;5;m;1
Ludwig;5;m;1
Luka;5;m;1
Luke;5;m;1
Mahmoud;5;m;1
Mateo;5;m;1
Nils;5;m;1
Pepe;5;m;1
Sam;5;m;1
Simon;5;m;1
Taha;5;m;1
Victor;5;m;1
Yi?it;5;m;1
Yunus;5;m;1
Ahmet;4;m;1
Alex;4;m;1
Antonio;4;m;1
Ari;4;m;1
Berat;4;m;1
Burak;4;m;1
Can;4;m;1
Carlo;4;m;1
Cihan;4;m;1
Damian;4;m;1
Daniel;4;m;1
Eduard;4;m;1
Emmanuel;4;m;1
Enes;4;m;1
Enzo;4;m;1
Fritz;4;m;1
Gabriel;4;m;1
Gustav;4;m;1
Hassan;4;m;1
Ilyas;4;m;1
Ismail;4;m;1
Jamie;4;m;1
Kaan;4;m;1
Khaled;4;m;1
Lars;4;m;1
Mads;4;m;1
Martin;4;m;1
Mehmed;4;m;1
Michael;4;m;1
Nathan;4;m;1
Nicolas;4;m;1
Oliver;4;m;1
Omran;4;m;1
Oscar;4;m;1
Otto;4;m;1
Philip;4;m;1
Rayan;4;m;1
Robert;4;m;1
Ruben;4;m;1
Teo;4;m;1
Till;4;m;1
Tobias;4;m;1
Tom;4;m;1
Viktor;4;m;1
Zaid;4;m;1
Ahmed;3;m;1
Akram;3;m;1
Alan;3;m;1
Alper;3;m;1
Andreas;3;m;1
Andrew;3;m;1
Angelo;3;m;1
Aron;3;m;1
Azad;3;m;1
Benedikt;3;m;1
Boris;3;m;1
Christian;3;m;1
Cillian;3;m;1
Constantin;3;m;1
Darius;3;m;1
Dean;3;m;1
Dejan;3;m;1
Elian;3;m;1
Emin;3;m;1
Enno;3;m;1
Ethan;3;m;1
Fabian;3;m;1
Fatih;3;m;1
Ferdinand;3;m;1
Filip;3;m;1
Flynn;3;m;1
Gad;3;m;1
Georg;3;m;1
Hasan;3;m;1
Henrik;3;m;1
Hugo;3;m;1
Igor;3;m;1
Ion;3;m;1
Isa;3;m;1
Issa;3;m;1
Ivan;3;m;1
Janne;3;m;1
Jannik;3;m;1
Kadir;3;m;1
Karam;3;m;1
Kian;3;m;1
Kilian;3;m;1
Lennard;3;m;1
Leopold;3;m;1
Lino;3;m;1
Lio;3;m;1
Lucas;3;m;1
Lucian;3;m;1
Mailo;3;m;1
Marcel;3;m;1
Mark;3;m;1
Marlon;3;m;1
Moussa;3;m;1
Muhamed;3;m;1
Murat;3;m;1
Nick;3;m;1
Nico;3;m;1
Nikita;3;m;1
Noel;3;m;1
Osman;3;m;1
Rafael;3;m;1
Sami;3;m;1
Selim;3;m;1
Tim;3;m;1
Timur;3;m;1
Tony;3;m;1
Umut;3;m;1
Vico;3;m;1
Wanja;3;m;1
William;3;m;1
Yazan;3;m;1
Younes;3;m;1
Youssef;3;m;1
Abdul;2;m;1
Abraham;2;m;1
Achilles;2;m;1
Adis;2;m;1
Aiden;2;m;1
Albert;2;m;1
Alen;2;m;1
Alwin;2;m;1
Anik;2;m;1
Arian;2;m;1
Arne;2;m;1
Ayaan;2;m;1
Batuhan;2;m;1
Bela;2;m;1
Bennet;2;m;1
Bennett;2;m;1
Benno;2;m;1
Berkay;2;m;1
Bilal;2;m;1
Bjarne;2;m;1
Bo;2;m;1
Casimir;2;m;1
Cedric;2;m;1
Cem;2;m;1
Charlie;2;m;1
Christopher;2;m;1
Dan;2;m;1
Danijel;2;m;1
Dante;2;m;1
Dave;2;m;1
Dawid;2;m;1
Denis;2;m;1
Devrim;2;m;1
Dylan;2;m;1
Efe;2;m;1
Ege;2;m;1
Elvin;2;m;1
Emirhan;2;m;1
Ensar;2;m;1
Eren;2;m;1
Eric;2;m;1
Ernest;2;m;1
Ertu?rul;2;m;1
Evan;2;m;1
Eyyüp;2;m;1
Faisal;2;m;1
Florian;2;m;1
Francisco;2;m;1
Frederick;2;m;1
Frederik;2;m;1
Frieder;2;m;1
Haider;2;m;1
Hamsat;2;m;1
Hans;2;m;1
Harry;2;m;1
Henning;2;m;1
Hussain;2;m;1
Hüseyin;2;m;1
?brahim;2;m;1
Ikra;2;m;1
Ilya;2;m;1
Ionut;2;m;1
Isaac;2;m;1
Jack;2;m;1
Jacob;2;m;1
Jacques;2;m;1
James;2;m;1
Jamiro;2;m;1
Jannes;2;m;1
Jayden;2;m;1
Jesaja;2;m;1
Joan;2;m;1
Jorin;2;m;1
Joseph;2;m;1
Joud;2;m;1
Juri;2;m;1
Kerem;2;m;1
Khalif;2;m;1
Khalil;2;m;1
Kolent;2;m;1
Konrad;2;m;1
Kubilay;2;m;1
Laith;2;m;1
Leonidas;2;m;1
Lias;2;m;1
Luan;2;m;1
Mahir;2;m;1
Mahmud;2;m;1
Mamadou;2;m;1
Manuel;2;m;1
Marc;2;m;1
Mario;2;m;1
Marius;2;m;1
Marvin;2;m;1
Matheo;2;m;1
Mathis;2;m;1
Mattes;2;m;1
Mattia;2;m;1
Maxime;2;m;1
Maximillian;2;m;1
Metehan;2;m;1
Miguel;2;m;1
Miko;2;m;1
Mio;2;m;1
Miraç;2;m;1
Miron;2;m;1
Nader;2;m;1
Neo;2;m;1
Nevio;2;m;1
Niko;2;m;1
Nikodem;2;m;1
Nikola;2;m;1
Nikolas;2;m;1
Nilo;2;m;1
Nino;2;m;1
Onur;2;m;1
Osama;2;m;1
Pablo;2;m;1
Pavel;2;m;1
Peter;2;m;1
Phil;2;m;1
Piet;2;m;1
Prince;2;m;1
Rabih;2;m;1
Raman;2;m;1
Ramazan;2;m;1
Rick;2;m;1
Robin;2;m;1
Rojan;2;m;1
Roman;2;m;1
Salih;2;m;1
Santiago;2;m;1
Santino;2;m;1
Sebastian;2;m;1
Semin;2;m;1
Serhat;2;m;1
Solomon;2;m;1
Stefanos;2;m;1
Süleyman;2;m;1
Tarik;2;m;1
Teodor;2;m;1
Thies;2;m;1
Thomas;2;m;1
Toni;2;m;1
Toprak;2;m;1
Tyler;2;m;1
Umar;2;m;1
Umutcan;2;m;1
Vito;2;m;1
Willem;2;m;1
Yannik;2;m;1
Yannis;2;m;1
Yassin;2;m;1
Younis;2;m;1
Yuliyan;2;m;1
Yunes;2;m;1
Ça?r?;2;m;1
Aarav;1;m;1
Aayan;1;m;1
Abd;1;m;1
Abdallah;1;m;1
Abdalrhman;1;m;1
Abdel;1;m;1
Abdelsalam;1;m;1
Abdiraxman;1;m;1
Abdul-Rahman;1;m;1
Abdul-Rohman;1;m;1
Abdulaziz;1;m;1
Abdulkadir;1;m;1
Abdulnaser;1;m;1
Abdur-Rahman;1;m;1
Abdurrakhman;1;m;1
Abdussamed;1;m;1
Abu;1;m;1
Abyan;1;m;1
Ace;1;m;1
Ace-Maximilian;1;m;1
Adar;1;m;1
Adem;1;m;1
Adi;1;m;1
Adieyan;1;m;1
Adin;1;m;1
Adnan;1;m;1
Adriano-Angelo;1;m;1
Adyan;1;m;1
Aghilas;1;m;1
Ahil;1;m;1
Ajan;1;m;1
Ajay;1;m;1
Ajdin;1;m;1
Akif;1;m;1
Akshat;1;m;1
Alay;1;m;1
Alberto;1;m;1
Aleksa;1;m;1
Aleksander;1;m;1
Alesio;1;m;1
Alessandro;1;m;1
Alexandros;1;m;1
Alexandru;1;m;1
Alexis;1;m;1
Alexsandar;1;m;1
Aleyna;1;m;1
Alihan;1;m;1
Alik;1;m;1
Alim;1;m;1
Aliz;1;m;1
Almedin;1;m;1
Almir;1;m;1
Aloys;1;m;1
Alvin;1;m;1
Alyan;1;m;1
Amani;1;m;1
Amanuel;1;m;1
Amara;1;m;1
Amedeo;1;m;1
Ameer;1;m;1
Amilio;1;m;1
Amirali;1;m;1
Amirhossein;1;m;1
Amon;1;m;1
Amr;1;m;1
Amran;1;m;1
An;1;m;1
Anas;1;m;1
Anatole;1;m;1
Andre;1;m;1
Andree;1;m;1
Andrei;1;m;1
Andrin;1;m;1
András;1;m;1
André;1;m;1
Andy;1;m;1
Angel;1;m;1
Anis;1;m;1
Ansgar;1;m;1
Ansoumane;1;m;1
Anthony;1;m;1
Anto;1;m;1
Anuuk;1;m;1
Anvin;1;m;1
Anwar;1;m;1
Arda;1;m;1
Arden;1;m;1
Arham;1;m;1
Arijano;1;m;1
Arik;1;m;1
Aris;1;m;1
Ariyan;1;m;1
Arke;1;m;1
Arlo;1;m;1
Arman;1;m;1
Armando;1;m;1
Armin;1;m;1
Arn;1;m;1
Arno;1;m;1
Artur;1;m;1
Arved-Espen;1;m;1
Arvid;1;m;1
Aryan;1;m;1
Asad;1;m;1
Asaf;1;m;1
Asgar;1;m;1
Asger;1;m;1
Ash;1;m;1
Aslan;1;m;1
Asmir;1;m;1
Atakan;1;m;1
Atilla;1;m;1
Atlas;1;m;1
Augustin;1;m;1
Aurel;1;m;1
Avi;1;m;1
Awwab;1;m;1
Ayan;1;m;1
Aydin;1;m;1
Aymar;1;m;1
Ayomide;1;m;1
Ayoub;1;m;1
Ayub;1;m;1
Ayyub;1;m;1
Azan;1;m;1
Azat;1;m;1
Azdren;1;m;1
Azem;1;m;1
Azim;1;m;1
Aziz;1;m;1
Azlan;1;m;1
Bahattin;1;m;1
Bahir;1;m;1
Bajro;1;m;1
